text,choice,predicted_label,timestamp
好难熬啊啊啊啊啊啊,不符合,1,2025-12-15 16:37:51
好煎熬啊啊啊啊啊啊,不符合,1,2025-12-15 16:38:03
不想吃饭，没胃口,不符合,1,2025-12-15 16:38:19
喜欢吃面喜欢喝粥,符合,1,2025-12-15 16:38:55
不喜欢吃面不喜欢喝粥,不符合,1,2025-12-15 16:39:02
讨厌做作业,符合,0,2025-12-15 16:39:13
讨厌吃米饭,符合,0,2025-12-15 16:39:21
喜欢刷痘印,符合,1,2025-12-15 16:39:53
小红书传播焦虑真可恶,符合,0,2025-12-15 16:40:24
抖音好搞笑哈哈哈哈哈,符合,1,2025-12-15 16:40:47
喜欢散步,符合,1,2025-12-15 16:42:45
嘻嘻嘻,符合,1,2025-12-15 16:44:56
妈妈人生是旷野,符合,1,2025-12-15 16:45:16
我喜欢旷课,不符合,1,2025-12-15 16:45:27
怎么这么好笑,不符合,0,2025-12-15 16:45:45
怎么这么搞笑,不符合,0,2025-12-15 16:45:54
怎么这么烦人,符合,0,2025-12-15 16:46:00
怎么这么烦人,符合,0,2025-12-15 16:46:39
好多作业滚远点啊啊啊啊,不符合,1,2025-12-15 16:47:35
想出去玩，应该会很开心吧,符合,1,2025-12-15 16:48:07
为什么模型不训练,不符合,1,2025-12-15 16:48:47
为什么模型不训练,不符合,1,2025-12-15 16:48:49
